event.deviceEventClassId,set.event.categoryObject,set.event.categoryBehavior,set.event.categoryTechnique,set.event.categoryDeviceGroup,set.event.categorySignificance,set.event.categoryOutcome,set.event.originator
ALERT_CABINET_EVENT_MATCH_AUDIT,/Host/Application,/Check/Security,/Policy/Breach,/Application,/Suspicious,/Success,Source
ALERT_MANAGEMENT_DISCONNECTED_SIEM,/Host/Resource/Process,/Communicate,,/Application,/Informational/Alert,/Failure,Source
EVENT_CATEGORY_CREATE_ACTIVITY_POLICY,/Host/Application,/Modify/Content,,/Application,,/Success,Source
EVENT_CATEGORY_CREATE_API_TOKEN,/Host/Application,/Modify/Attribute,,/Application,,/Success,Source
EVENT_CATEGORY_CREATE_IP_RANGE,/Host/Application,/Modify/Attribute,,/Application,,/Success,Source
EVENT_CATEGORY_CREATE_SITE_COLLECTION,/Host/Application,/Modify/Attribute,,/Application,,/Success,Source
EVENT_CATEGORY_CREATE_TAG,/Host/Application,/Modify/Attribute,,/Application,,/Success,Source
EVENT_CATEGORY_CREATE_USER,/Actor/User,/Create,,/Application,,/Success,Source
EVENT_CATEGORY_DISMISS_ALERTS_-_BULK,/Host/Application,/Execute/Response,,/Application,,/Success,Source
EVENT_CATEGORY_FAILED_LOGIN,/Host/Application,/Authentication/Verify,,/Application,/Informational/Warning,/Failure,Source
EVENT_CATEGORY_LOGIN,/Host/Application,/Authentication/Verify,,/Application,,/Success,Source
EVENT_CATEGORY_RESOLVE_ALERTS_-_BULK,/Host/Application,/Execute/Response,,/Application,,/Success,Source
EVENT_CATEGORY_RUN_COMMAND,/Host/Application,/Execute,,/Application,,/Attempt,Source
EVENT_CATEGORY_SET_ADMIN_IN_SITE,/Host/Application,/Authorization/Modify,,/Application,,/Success,Source
EVENT_CATEGORY_SIEM_AGENT,/Host/Resource/Process,/Communicate/Query,,/Application,,/Success,Source
EVENT_CATEGORY_SITE_COLLECTION_ADMIN_REMOVED,/Host/Application,/Authorization/Modify,,/Application,,/Success,Source
EVENT_CATEGORY_UPDATE_USER,/Actor/User,/Modify,,/Application,,/Success,Source
EVENT_CATEGORY_USER_CHANGE_LICENSE,/Host/Application/License,/Modify,,/Application,,/Success,Source
EVENT_CATEGORY_DELETE_USER,/Actor/User,/Create,,/Application,/Informational,/Success,Source
